neighbourhood_name,neighbourhood_code,price,Group
Bridle Path-Sunnybrook-York Mills,41,1849084,Top 10
Forest Hill South,101,1585984,Top 10
St.Andrew-Windfields,40,1363202,Top 10
Rosedale-Moore Park,98,1265389,Top 10
Lawrence Park South,103,1215390,Top 10
Bedford Park-Nortown,39,1191040,Top 10
Casa Loma,96,1083381,Top 10
Leaside-Bennington,56,1071823,Top 10
Yonge-St.Clair,97,995616,Top 10
Annex,95,993491,Top 10
Flemingdon Park,44,204104,Bottom 10
Elms-Old Rexdale,5,233832,Bottom 10
Black Creek,24,235143,Bottom 10
Mount Olive-Silverstone-Jamestown,2,251119,Bottom 10
Taylor-Massey,61,254151,Bottom 10
Malvern,132,256488,Bottom 10
Mount Dennis,115,273418,Bottom 10
Eglinton East,138,274020,Bottom 10
Dorset Park,126,279189,Bottom 10
Weston,113,280187,Bottom 10
